Metric,Value
Best Model,SVM (RBF)
Accuracy,0.8880976602238047
Precision (Macro),0.8882396666228017
Recall (Macro),0.8872446323092432
F1-Score (Macro),0.8865703191636011
Precision (Weighted),0.8896167262851752
Recall (Weighted),0.8880976602238047
F1-Score (Weighted),0.8877180849099537
ROC-AUC (Macro),0.9851581909761776
MSE,0.1607324516785351
RMSE,0.4009145191665364
R2 Score,0.9471340957409512
n_basis,14
k_features,88
Total Features,176
n_basis Selection Time (s),1.651930809020996
Spline Feature Time (s),0.3046839237213135
Total Spline Time (s),1.9566147327423096
Peak Memory (MB),62.38799858093262
